Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","Czechia","Temperature change","April","2009","°C","4.71"
"Temperature change","Czechia","Temperature change","April","2010","°C","1.19"
"Temperature change","Czechia","Temperature change","April","2011","°C","3.586"
"Temperature change","Czechia","Temperature change","April","2012","°C","1.414"
"Temperature change","Czechia","Temperature change","April","2013","°C","1.447"
"Temperature change","Czechia","Temperature change","May","2000","°C","3.091"
"Temperature change","Czechia","Temperature change","May","2001","°C","2.555"
"Temperature change","Czechia","Temperature change","May","2002","°C","3.291"
"Temperature change","Czechia","Temperature change","May","2003","°C","3.361"
"Temperature change","Czechia","Temperature change","May","2004","°C","-0.427"
"Temperature change","Czechia","Temperature change","May","2005","°C","1.353"
"Temperature change","Czechia","Temperature change","May","2006","°C","0.946"
"Temperature change","Czechia","Temperature change","May","2007","°C","2.593"
"Temperature change","Czechia","Temperature change","May","2008","°C","2.042"
"Temperature change","Czechia","Temperature change","May","2009","°C","1.77"
"Temperature change","Czechia","Temperature change","May","2010","°C","0.013"
"Temperature change","Czechia","Temperature change","May","2011","°C","1.584"
"Temperature change","Czechia","Temperature change","May","2012","°C","2.559"
"Temperature change","Czechia","Temperature change","May","2013","°C","0.724"
"Temperature change","Czechia","Temperature change","June","2000","°C","1.896"
"Temperature change","Czechia","Temperature change","June","2001","°C","-1.065"
"Temperature change","Czechia","Temperature change","June","2002","°C","2.119"
"Temperature change","Czechia","Temperature change","June","2003","°C","4.051"
"Temperature change","Czechia","Temperature change","June","2004","°C","0.002"
"Temperature change","Czechia","Temperature change","June","2005","°C","0.677"
"Temperature change","Czechia","Temperature change","June","2006","°C","1.355"
"Temperature change","Czechia","Temperature change","June","2007","°C","2.708"
"Temperature change","Czechia","Temperature change","June","2008","°C","2.081"
"Temperature change","Czechia","Temperature change","June","2009","°C","-0.297"
"Temperature change","Czechia","Temperature change","June","2010","°C","1.074"
"Temperature change","Czechia","Temperature change","June","2011","°C","1.674"
"Temperature change","Czechia","Temperature change","June","2012","°C","1.476"
"Temperature change","Czechia","Temperature change","June","2013","°C","0.737"
"Temperature change","Czechia","Temperature change","July","2000","°C","-1.04"
"Temperature change","Czechia","Temperature change","July","2001","°C","1.44"
"Temperature change","Czechia","Temperature change","July","2002","°C","1.839"
"Temperature change","Czechia","Temperature change","July","2003","°C","2.054"
"Temperature change","Czechia","Temperature change","July","2004","°C","0.521"
"Temperature change","Czechia","Temperature change","July","2005","°C","1.361"
"Temperature change","Czechia","Temperature change","July","2006","°C","4.601"
"Temperature change","Czechia","Temperature change","July","2007","°C","1.632"
"Temperature change","Czechia","Temperature change","July","2008","°C","1.251"
"Temperature change","Czechia","Temperature change","July","2009","°C","1.678"
"Temperature change","Czechia","Temperature change","July","2010","°C","3.169"
"Temperature change","Czechia","Temperature change","July","2011","°C","-0.187"
"Temperature change","Czechia","Temperature change","July","2012","°C","1.862"
"Temperature change","Czechia","Temperature change","July","2013","°C","2.771"
"Temperature change","Czechia","Temperature change","August","2000","°C","2.23"
"Temperature change","Czechia","Temperature change","August","2001","°C","2.431"
"Temperature change","Czechia","Temperature change","August","2002","°C","2.401"
"Temperature change","Czechia","Temperature change","August","2003","°C","4.215"
"Temperature change","Czechia","Temperature change","August","2004","°C","1.997"
"Temperature change","Czechia","Temperature change","August","2005","°C","-0.283"
"Temperature change","Czechia","Temperature change","August","2006","°C","-0.738"
"Temperature change","Czechia","Temperature change","August","2007","°C","1.378"
"Temperature change","Czechia","Temperature change","August","2008","°C","1.345"
"Temperature change","Czechia","Temperature change","August","2009","°C","2.286"
"Temperature change","Czechia","Temperature change","August","2010","°C","0.865"
"Temperature change","Czechia","Temperature change","August","2011","°C","2.107"
"Temperature change","Czechia","Temperature change","August","2012","°C","2.385"
"Temperature change","Czechia","Temperature change","August","2013","°C","2.039"
"Temperature change","Czechia","Temperature change","September","2000","°C","0.329"
"Temperature change","Czechia","Temperature change","September","2001","°C","-1.573"
"Temperature change","Czechia","Temperature change","September","2002","°C","-0.571"
"Temperature change","Czechia","Temperature change","September","2003","°C","0.747"
"Temperature change","Czechia","Temperature change","September","2004","°C","0.411"
"Temperature change","Czechia","Temperature change","September","2005","°C","1.691"
"Temperature change","Czechia","Temperature change","September","2006","°C","3.125"
"Temperature change","Czechia","Temperature change","September","2007","°C","-1.065"
"Temperature change","Czechia","Temperature change","September","2008","°C","-0.655"
"Temperature change","Czechia","Temperature change","September","2009","°C","2.04"
"Temperature change","Czechia","Temperature change","September","2010","°C","-1.059"
"Temperature change","Czechia","Temperature change","September","2011","°C","2.411"
"Temperature change","Czechia","Temperature change","September","2012","°C","1.016"
"Temperature change","Czechia","Temperature change","September","2013","°C","-0.386"
"Temperature change","Czechia","Temperature change","October","2000","°C","2.96"
"Temperature change","Czechia","Temperature change","October","2001","°C","3.768"
"Temperature change","Czechia","Temperature change","October","2002","°C","-0.667"
"Temperature change","Czechia","Temperature change","October","2003","°C","-2.725"
"Temperature change","Czechia","Temperature change","October","2004","°C","1.708"
"Temperature change","Czechia","Temperature change","October","2005","°C","1.756"
"Temperature change","Czechia","Temperature change","October","2006","°C","2.853"
"Temperature change","Czechia","Temperature change","October","2007","°C","-0.527"
"Temperature change","Czechia","Temperature change","October","2008","°C","0.843"
"Temperature change","Czechia","Temperature change","October","2009","°C","-0.534"
"Temperature change","Czechia","Temperature change","October","2010","°C","-1.407"
"Temperature change","Czechia","Temperature change","October","2011","°C","0.484"
"Temperature change","Czechia","Temperature change","October","2012","°C","0.13"
"Temperature change","Czechia","Temperature change","October","2013","°C","1.763"
"Temperature change","Czechia","Temperature change","November","2000","°C","2.847"
"Temperature change","Czechia","Temperature change","November","2001","°C","-0.92"
"Temperature change","Czechia","Temperature change","November","2002","°C","2.133"
"Temperature change","Czechia","Temperature change","November","2003","°C","2.21"
"Temperature change","Czechia","Temperature change","November","2004","°C","0.568"
"Temperature change","Czechia","Temperature change","November","2005","°C","-0.462"
"Temperature change","Czechia","Temperature change","November","2006","°C","2.857"
"Temperature change","Czechia","Temperature change","November","2007","°C","-1.089"
"Temperature change","Czechia","Temperature change","November","2008","°C","1.733"
"Temperature change","Czechia","Temperature change","November","2009","°C","2.862"
"Temperature change","Czechia","Temperature change","November","2010","°C","2.059"
"Temperature change","Czechia","Temperature change","November","2011","°C","0.32"
"Temperature change","Czechia","Temperature change","November","2012","°C","2.127"
"Temperature change","Czechia","Temperature change","November","2013","°C","1.24"
"Temperature change","Czechia","Temperature change","December","2000","°C","2.166"
"Temperature change","Czechia","Temperature change","December","2001","°C","-2.398"
"Temperature change","Czechia","Temperature change","December","2002","°C","-1.186"
"Temperature change","Czechia","Temperature change","December","2003","°C","0.908"
"Temperature change","Czechia","Temperature change","December","2004","°C","0.685"
"Temperature change","Czechia","Temperature change","December","2005","°C","-0.205"
"Temperature change","Czechia","Temperature change","December","2006","°C","3.365"
"Temperature change","Czechia","Temperature change","December","2007","°C","0.421"
"Temperature change","Czechia","Temperature change","December","2008","°C","1.572"
"Temperature change","Czechia","Temperature change","December","2009","°C","0.021"
"Temperature change","Czechia","Temperature change","December","2010","°C","-3.687"
"Temperature change","Czechia","Temperature change","December","2011","°C","2.948"
"Temperature change","Czechia","Temperature change","December","2012","°C","0.003"
"Temperature change","Czechia","Temperature change","December","2013","°C","2.733"
"Temperature change","Denmark","Temperature change","January","2000","°C","3.148"
"Temperature change","Denmark","Temperature change","January","2001","°C","2.008"
"Temperature change","Denmark","Temperature change","January","2002","°C","2.985"
"Temperature change","Denmark","Temperature change","January","2003","°C","0.198"
"Temperature change","Denmark","Temperature change","January","2004","°C","-0.414"
"Temperature change","Denmark","Temperature change","January","2005","°C","3.767"
"Temperature change","Denmark","Temperature change","January","2006","°C","-0.934"
"Temperature change","Denmark","Temperature change","January","2007","°C","5.142"
"Temperature change","Denmark","Temperature change","January","2008","°C","4.351"
"Temperature change","Denmark","Temperature change","January","2009","°C","0.919"
"Temperature change","Denmark","Temperature change","January","2010","°C","-3.519"
"Temperature change","Denmark","Temperature change","January","2011","°C","0.682"
"Temperature change","Denmark","Temperature change","January","2012","°C","2.486"
"Temperature change","Denmark","Temperature change","January","2013","°C","0.289"
"Temperature change","Denmark","Temperature change","February","2000","°C","4.384"
"Temperature change","Denmark","Temperature change","February","2001","°C","1.264"
"Temperature change","Denmark","Temperature change","February","2002","°C","5.141"
"Temperature change","Denmark","Temperature change","February","2003","°C","-0.658"
"Temperature change","Denmark","Temperature change","February","2004","°C","2.672"
"Temperature change","Denmark","Temperature change","February","2005","°C","0.952"
"Temperature change","Denmark","Temperature change","February","2006","°C","0.797"
"Temperature change","Denmark","Temperature change","February","2007","°C","2.693"
"Temperature change","Denmark","Temperature change","February","2008","°C","5.195"
"Temperature change","Denmark","Temperature change","February","2009","°C","1.011"
"Temperature change","Denmark","Temperature change","February","2010","°C","-1.388"
"Temperature change","Denmark","Temperature change","February","2011","°C","0.316"
"Temperature change","Denmark","Temperature change","February","2012","°C","-0.298"
"Temperature change","Denmark","Temperature change","February","2013","°C","0.382"
"Temperature change","Denmark","Temperature change","March","2000","°C","2.185"
"Temperature change","Denmark","Temperature change","March","2001","°C","-0.448"
"Temperature change","Denmark","Temperature change","March","2002","°C","2.652"
"Temperature change","Denmark","Temperature change","March","2003","°C","1.822"
"Temperature change","Denmark","Temperature change","March","2004","°C","1.855"
"Temperature change","Denmark","Temperature change","March","2005","°C","-0.374"
"Temperature change","Denmark","Temperature change","March","2006","°C","-2.533"
"Temperature change","Denmark","Temperature change","March","2007","°C","4.515"
"Temperature change","Denmark","Temperature change","March","2008","°C","1.802"
"Temperature change","Denmark","Temperature change","March","2009","°C","1.947"
"Temperature change","Denmark","Temperature change","March","2010","°C","0.886"
"Temperature change","Denmark","Temperature change","March","2011","°C","1.171"
"Temperature change","Denmark","Temperature change","March","2012","°C","4.103"
"Temperature change","Denmark","Temperature change","March","2013","°C","-2.513"
"Temperature change","Denmark","Temperature change","April","2000","°C","3.017"
"Temperature change","Denmark","Temperature change","April","2001","°C","0.361"
"Temperature change","Denmark","Temperature change","April","2002","°C","1.721"
"Temperature change","Denmark","Temperature change","April","2003","°C","1.241"
"Temperature change","Denmark","Temperature change","April","2004","°C","2.339"
"Temperature change","Denmark","Temperature change","April","2005","°C","1.885"
"Temperature change","Denmark","Temperature change","April","2006","°C","0.635"
"Temperature change","Denmark","Temperature change","April","2007","°C","3.516"
"Temperature change","Denmark","Temperature change","April","2008","°C","1.723"
"Temperature change","Denmark","Temperature change","April","2009","°C","4.044"
"Temperature change","Denmark","Temperature change","April","2010","°C","1.52"
"Temperature change","Denmark","Temperature change","April","2011","°C","4.174"
"Temperature change","Denmark","Temperature change","April","2012","°C","0.7"
"Temperature change","Denmark","Temperature change","April","2013","°C","0.115"
"Temperature change","Denmark","Temperature change","May","2000","°C","2.434"
"Temperature change","Denmark","Temperature change","May","2001","°C","1.233"
"Temperature change","Denmark","Temperature change","May","2002","°C","2.519"
"Temperature change","Denmark","Temperature change","May","2003","°C","1.284"
"Temperature change","Denmark","Temperature change","May","2004","°C","1.032"
"Temperature change","Denmark","Temperature change","May","2005","°C","0.59"
"Temperature change","Denmark","Temperature change","May","2006","°C","1.103"
"Temperature change","Denmark","Temperature change","May","2007","°C","1.427"
"Temperature change","Denmark","Temperature change","May","2008","°C","1.842"
"Temperature change","Denmark","Temperature change","May","2009","°C","1.206"
"Temperature change","Denmark","Temperature change","May","2010","°C","-0.813"
"Temperature change","Denmark","Temperature change","May","2011","°C","1.268"
"Temperature change","Denmark","Temperature change","May","2012","°C","1.755"
"Temperature change","Denmark","Temperature change","May","2013","°C","1.716"
"Temperature change","Denmark","Temperature change","June","2000","°C","-0.034"
"Temperature change","Denmark","Temperature change","June","2001","°C","-1.18"
"Temperature change","Denmark","Temperature change","June","2002","°C","1.352"
"Temperature change","Denmark","Temperature change","June","2003","°C","1.692"
"Temperature change","Denmark","Temperature change","June","2004","°C","-0.749"
"Temperature change","Denmark","Temperature change","June","2005","°C","-0.289"
"Temperature change","Denmark","Temperature change","June","2006","°C","0.847"
"Temperature change","Denmark","Temperature change","June","2007","°C","1.939"
"Temperature change","Denmark","Temperature change","June","2008","°C","0.774"
"Temperature change","Denmark","Temperature change","June","2009","°C","-0.499"
"Temperature change","Denmark","Temperature change","June","2010","°C","-0.225"
"Temperature change","Denmark","Temperature change","June","2011","°C","1.021"
"Temperature change","Denmark","Temperature change","June","2012","°C","-1.133"
"Temperature change","Denmark","Temperature change","June","2013","°C","0.138"
"Temperature change","Denmark","Temperature change","July","2000","°C","-0.539"
"Temperature change","Denmark","Temperature change","July","2001","°C","1.978"
"Temperature change","Denmark","Temperature change","July","2002","°C","1.434"
"Temperature change","Denmark","Temperature change","July","2003","°C","2.52"
"Temperature change","Denmark","Temperature change","July","2004","°C","-0.505"
"Temperature change","Denmark","Temperature change","July","2005","°C","1.809"
"Temperature change","Denmark","Temperature change","July","2006","°C","4.147"
"Temperature change","Denmark","Temperature change","July","2007","°C","0.17"
"Temperature change","Denmark","Temperature change","July","2008","°C","1.738"
"Temperature change","Denmark","Temperature change","July","2009","°C","1.804"
"Temperature change","Denmark","Temperature change","July","2010","°C","3.221"
"Temperature change","Denmark","Temperature change","July","2011","°C","0.842"
"Temperature change","Denmark","Temperature change","July","2012","°C","0.546"
"Temperature change","Denmark","Temperature change","July","2013","°C","1.768"
"Temperature change","Denmark","Temperature change","August","2000","°C","0.024"
"Temperature change","Denmark","Temperature change","August","2001","°C","1.532"
"Temperature change","Denmark","Temperature change","August","2002","°C","4.05"
"Temperature change","Denmark","Temperature change","August","2003","°C","2.178"
"Temperature change","Denmark","Temperature change","August","2004","°C","2.27"
"Temperature change","Denmark","Temperature change","August","2005","°C","0.028"
"Temperature change","Denmark","Temperature change","August","2006","°C","1.513"
"Temperature change","Denmark","Temperature change","August","2007","°C","1.164"
"Temperature change","Denmark","Temperature change","August","2008","°C","0.93"
"Temperature change","Denmark","Temperature change","August","2009","°C","1.779"
"Temperature change","Denmark","Temperature change","August","2010","°C","0.963"
"Temperature change","Denmark","Temperature change","August","2011","°C","0.725"
"Temperature change","Denmark","Temperature change","August","2012","°C","1.15"
"Temperature change","Denmark","Temperature change","August","2013","°C","1.485"
"Temperature change","Denmark","Temperature change","September","2000","°C","0.259"
"Temperature change","Denmark","Temperature change","September","2001","°C","-0.073"
"Temperature change","Denmark","Temperature change","September","2002","°C","1.643"
"Temperature change","Denmark","Temperature change","September","2003","°C","1.274"
"Temperature change","Denmark","Temperature change","September","2004","°C","0.998"
"Temperature change","Denmark","Temperature change","September","2005","°C","1.638"
"Temperature change","Denmark","Temperature change","September","2006","°C","3.741"
"Temperature change","Denmark","Temperature change","September","2007","°C","0.13"
"Temperature change","Denmark","Temperature change","September","2008","°C","0.234"
"Temperature change","Denmark","Temperature change","September","2009","°C","1.563"
"Temperature change","Denmark","Temperature change","September","2010","°C","-0.113"
"Temperature change","Denmark","Temperature change","September","2011","°C","1.452"
"Temperature change","Denmark","Temperature change","September","2012","°C","0.419"
"Temperature change","Denmark","Temperature change","September","2013","°C","0.269"
"Temperature change","Denmark","Temperature change","October","2000","°C","2.36"
"Temperature change","Denmark","Temperature change","October","2001","°C","3.181"
"Temperature change","Denmark","Temperature change","October","2002","°C","-1.895"
"Temperature change","Denmark","Temperature change","October","2003","°C","-2.54"
"Temperature change","Denmark","Temperature change","October","2004","°C","0.566"
"Temperature change","Denmark","Temperature change","October","2005","°C","2.006"
"Temperature change","Denmark","Temperature change","October","2006","°C","3.214"
"Temperature change","Denmark","Temperature change","October","2007","°C","-0.312"
"Temperature change","Denmark","Temperature change","October","2008","°C","0.671"
"Temperature change","Denmark","Temperature change","October","2009","°C","-1.355"
"Temperature change","Denmark","Temperature change","October","2010","°C","-0.557"
"Temperature change","Denmark","Temperature change","October","2011","°C","0.895"
"Temperature change","Denmark","Temperature change","October","2012","°C","-0.16"
"Temperature change","Denmark","Temperature change","October","2013","°C","1.736"
"Temperature change","Denmark","Temperature change","November","2000","°C","2.627"
"Temperature change","Denmark","Temperature change","November","2001","°C","0.439"
"Temperature change","Denmark","Temperature change","November","2002","°C","-0.734"
"Temperature change","Denmark","Temperature change","November","2003","°C","1.755"
"Temperature change","Denmark","Temperature change","November","2004","°C","0.276"
"Temperature change","Denmark","Temperature change","November","2005","°C","1.239"
"Temperature change","Denmark","Temperature change","November","2006","°C","3.005"
"Temperature change","Denmark","Temperature change","November","2007","°C","0.114"
"Temperature change","Denmark","Temperature change","November","2008","°C","1.042"
"Temperature change","Denmark","Temperature change","November","2009","°C","2.561"
"Temperature change","Denmark","Temperature change","November","2010","°C","-1.307"
"Temperature change","Denmark","Temperature change","November","2011","°C","1.753"
"Temperature change","Denmark","Temperature change","November","2012","°C","1.342"
"Temperature change","Denmark","Temperature change","November","2013","°C","1.203"
"Temperature change","Denmark","Temperature change","December","2000","°C","2.288"
"Temperature change","Denmark","Temperature change","December","2001","°C","-0.974"
"Temperature change","Denmark","Temperature change","December","2002","°C","-2.225"
"Temperature change","Denmark","Temperature change","December","2003","°C","2.099"
"Temperature change","Denmark","Temperature change","December","2004","°C","2.163"
"Temperature change","Denmark","Temperature change","December","2005","°C","0.685"
"Temperature change","Denmark","Temperature change","December","2006","°C","5.141"
"Temperature change","Denmark","Temperature change","December","2007","°C","1.989"
"Temperature change","Denmark","Temperature change","December","2008","°C","0.908"
"Temperature change","Denmark","Temperature change","December","2009","°C","-1.013"
"Temperature change","Denmark","Temperature change","December","2010","°C","-6.095"
"Temperature change","Denmark","Temperature change","December","2011","°C","2.829"
"Temperature change","Denmark","Temperature change","December","2012","°C","-1.769"
"Temperature change","Denmark","Temperature change","December","2013","°C","3.507"
"Temperature change","Estonia","Temperature change","January","2000","°C","3.698"
"Temperature change","Estonia","Temperature change","January","2001","°C","4.801"
"Temperature change","Estonia","Temperature change","January","2002","°C","3.594"
"Temperature change","Estonia","Temperature change","January","2003","°C","-1.282"
"Temperature change","Estonia","Temperature change","January","2004","°C","-0.335"
"Temperature change","Estonia","Temperature change","January","2005","°C","5.266"
"Temperature change","Estonia","Temperature change","January","2006","°C","1.243"
"Temperature change","Estonia","Temperature change","January","2007","°C","5.07"
"Temperature change","Estonia","Temperature change","January","2008","°C","5.587"
"Temperature change","Estonia","Temperature change","January","2009","°C","3.34"
"Temperature change","Estonia","Temperature change","January","2010","°C","-5.558"
"Temperature change","Estonia","Temperature change","January","2011","°C","1.768"
"Temperature change","Estonia","Temperature change","January","2012","°C","2.025"
"Temperature change","Estonia","Temperature change","January","2013","°C","0.262"
"Temperature change","Estonia","Temperature change","February","2000","°C","5.272"
"Temperature change","Estonia","Temperature change","February","2001","°C","1.196"
"Temperature change","Estonia","Temperature change","February","2002","°C","6.435"
"Temperature change","Estonia","Temperature change","February","2003","°C","0.86"
"Temperature change","Estonia","Temperature change","February","2004","°C","2.603"
"Temperature change","Estonia","Temperature change","February","2005","°C","0.963"
"Temperature change","Estonia","Temperature change","February","2006","°C","-1.389"
"Temperature change","Estonia","Temperature change","February","2007","°C","-2.047"
"Temperature change","Estonia","Temperature change","February","2008","°C","7.542"
"Temperature change","Estonia","Temperature change","February","2009","°C","2.385"
"Temperature change","Estonia","Temperature change","February","2010","°C","-1.101"
"Temperature change","Estonia","Temperature change","February","2011","°C","-3.237"
"Temperature change","Estonia","Temperature change","February","2012","°C","-2.167"
"Temperature change","Estonia","Temperature change","February","2013","°C","3.792"
"Temperature change","Estonia","Temperature change","March","2000","°C","3.023"
"Temperature change","Estonia","Temperature change","March","2001","°C","0.696"
"Temperature change","Estonia","Temperature change","March","2002","°C","4.313"
"Temperature change","Estonia","Temperature change","March","2003","°C","2.237"
"Temperature change","Estonia","Temperature change","March","2004","°C","2.844"
"Temperature change","Estonia","Temperature change","March","2005","°C","-2.35"
"Temperature change","Estonia","Temperature change","March","2006","°C","-1.97"
"Temperature change","Estonia","Temperature change","March","2007","°C","6.771"
"Temperature change","Estonia","Temperature change","March","2008","°C","3.737"
"Temperature change","Estonia","Temperature change","March","2009","°C","2.298"
"Temperature change","Estonia","Temperature change","March","2010","°C","1.116"
"Temperature change","Estonia","Temperature change","March","2011","°C","1.778"
"Temperature change","Estonia","Temperature change","March","2012","°C","3.444"
"Temperature change","Estonia","Temperature change","March","2013","°C","-3.114"
"Temperature change","Estonia","Temperature change","April","2000","°C","4.282"
"Temperature change","Estonia","Temperature change","April","2001","°C","3.066"
"Temperature change","Estonia","Temperature change","April","2002","°C","2.459"
"Temperature change","Estonia","Temperature change","April","2003","°C","-0.37"
"Temperature change","Estonia","Temperature change","April","2004","°C","1.963"
"Temperature change","Estonia","Temperature change","April","2005","°C","1.582"
"Temperature change","Estonia","Temperature change","April","2006","°C","1.45"
"Temperature change","Estonia","Temperature change","April","2007","°C","2.28"
"Temperature change","Estonia","Temperature change","April","2008","°C","3.38"
"Temperature change","Estonia","Temperature change","April","2009","°C","2.362"
"Temperature change","Estonia","Temperature change","April","2010","°C","2.144"
"Temperature change","Estonia","Temperature change","April","2011","°C","2.577"
"Temperature change","Estonia","Temperature change","April","2012","°C","1.651"
"Temperature change","Estonia","Temperature change","April","2013","°C","0.104"
"Temperature change","Estonia","Temperature change","May","2000","°C","1.014"
"Temperature change","Estonia","Temperature change","May","2001","°C","0.687"
"Temperature change","Estonia","Temperature change","May","2002","°C","2.816"
"Temperature change","Estonia","Temperature change","May","2003","°C","1.197"
"Temperature change","Estonia","Temperature change","May","2004","°C","0.736"
"Temperature change","Estonia","Temperature change","May","2005","°C","0.938"
"Temperature change","Estonia","Temperature change","May","2006","°C","1.154"
"Temperature change","Estonia","Temperature change","May","2007","°C","1.965"
"Temperature change","Estonia","Temperature change","May","2008","°C","1.055"
"Temperature change","Estonia","Temperature change","May","2009","°C","1.65"
"Temperature change","Estonia","Temperature change","May","2010","°C","2.662"
"Temperature change","Estonia","Temperature change","May","2011","°C","1.12"
"Temperature change","Estonia","Temperature change","May","2012","°C","1.858"
"Temperature change","Estonia","Temperature change","May","2013","°C","4.094"
"Temperature change","Estonia","Temperature change","June","2000","°C","-0.496"
"Temperature change","Estonia","Temperature change","June","2001","°C","-0.499"
"Temperature change","Estonia","Temperature change","June","2002","°C","1.388"
"Temperature change","Estonia","Temperature change","June","2003","°C","-1.17"
"Temperature change","Estonia","Temperature change","June","2004","°C","-1.244"
"Temperature change","Estonia","Temperature change","June","2005","°C","-0.427"
"Temperature change","Estonia","Temperature change","June","2006","°C","1.19"
"Temperature change","Estonia","Temperature change","June","2007","°C","1.286"
"Temperature change","Estonia","Temperature change","June","2008","°C","0.045"
"Temperature change","Estonia","Temperature change","June","2009","°C","-0.514"
"Temperature change","Estonia","Temperature change","June","2010","°C","0.109"
"Temperature change","Estonia","Temperature change","June","2011","°C","2.502"
"Temperature change","Estonia","Temperature change","June","2012","°C","-1.151"
"Temperature change","Estonia","Temperature change","June","2013","°C","2.985"
"Temperature change","Estonia","Temperature change","July","2000","°C","0.053"
"Temperature change","Estonia","Temperature change","July","2001","°C","3.896"
"Temperature change","Estonia","Temperature change","July","2002","°C","2.467"
"Temperature change","Estonia","Temperature change","July","2003","°C","3.579"
"Temperature change","Estonia","Temperature change","July","2004","°C","0.31"
"Temperature change","Estonia","Temperature change","July","2005","°C","2.025"
"Temperature change","Estonia","Temperature change","July","2006","°C","2.359"
"Temperature change","Estonia","Temperature change","July","2007","°C","0.671"
"Temperature change","Estonia","Temperature change","July","2008","°C","0.533"
"Temperature change","Estonia","Temperature change","July","2009","°C","0.803"
"Temperature change","Estonia","Temperature change","July","2010","°C","5.375"
"Temperature change","Estonia","Temperature change","July","2011","°C","3.995"
"Temperature change","Estonia","Temperature change","July","2012","°C","1.626"
"Temperature change","Estonia","Temperature change","July","2013","°C","1.361"
"Temperature change","Estonia","Temperature change","August","2000","°C","0.009"
"Temperature change","Estonia","Temperature change","August","2001","°C","0.823"
"Temperature change","Estonia","Temperature change","August","2002","°C","3.165"
"Temperature change","Estonia","Temperature change","August","2003","°C","0.726"
"Temperature change","Estonia","Temperature change","August","2004","°C","1.735"
"Temperature change","Estonia","Temperature change","August","2005","°C","0.942"
"Temperature change","Estonia","Temperature change","August","2006","°C","2.353"
"Temperature change","Estonia","Temperature change","August","2007","°C","2.47"
"Temperature change","Estonia","Temperature change","August","2008","°C","0.504"
"Temperature change","Estonia","Temperature change","August","2009","°C","0.605"
"Temperature change","Estonia","Temperature change","August","2010","°C","2.833"
"Temperature change","Estonia","Temperature change","August","2011","°C","1.392"
"Temperature change","Estonia","Temperature change","August","2012","°C","0.209"
"Temperature change","Estonia","Temperature change","August","2013","°C","1.501"
"Temperature change","Estonia","Temperature change","September","2000","°C","-0.86"
"Temperature change","Estonia","Temperature change","September","2001","°C","1.241"
"Temperature change","Estonia","Temperature change","September","2002","°C","0.556"
"Temperature change","Estonia","Temperature change","September","2003","°C","0.915"
"Temperature change","Estonia","Temperature change","September","2004","°C","1.625"
"Temperature change","Estonia","Temperature change","September","2005","°C","2"
"Temperature change","Estonia","Temperature change","September","2006","°C","3.258"
"Temperature change","Estonia","Temperature change","September","2007","°C","0.556"
"Temperature change","Estonia","Temperature change","September","2008","°C","-0.555"
"Temperature change","Estonia","Temperature change","September","2009","°C","2.323"
"Temperature change","Estonia","Temperature change","September","2010","°C","0.693"
"Temperature change","Estonia","Temperature change","September","2011","°C","2.205"
"Temperature change","Estonia","Temperature change","September","2012","°C","1.633"
"Temperature change","Estonia","Temperature change","September","2013","°C","1.044"
"Temperature change","Estonia","Temperature change","October","2000","°C","2.97"
"Temperature change","Estonia","Temperature change","October","2001","°C","2.162"
"Temperature change","Estonia","Temperature change","October","2002","°C","-4.085"
"Temperature change","Estonia","Temperature change","October","2003","°C","-1.495"
"Temperature change","Estonia","Temperature change","October","2004","°C","0.625"
"Temperature change","Estonia","Temperature change","October","2005","°C","1.851"
"Temperature change","Estonia","Temperature change","October","2006","°C","2.795"
"Temperature change","Estonia","Temperature change","October","2007","°C","1.152"
"Temperature change","Estonia","Temperature change","October","2008","°C","2.572"
"Temperature change","Estonia","Temperature change","October","2009","°C","-1.317"
"Temperature change","Estonia","Temperature change","October","2010","°C","-0.901"
"Temperature change","Estonia","Temperature change","October","2011","°C","1.836"
"Temperature change","Estonia","Temperature change","October","2012","°C","0.552"
"Temperature change","Estonia","Temperature change","October","2013","°C","1.317"
"Temperature change","Estonia","Temperature change","November","2000","°C","3.504"
"Temperature change","Estonia","Temperature change","November","2001","°C","-0.288"
"Temperature change","Estonia","Temperature change","November","2002","°C","-1.828"
"Temperature change","Estonia","Temperature change","November","2003","°C","2.06"
"Temperature change","Estonia","Temperature change","November","2004","°C","-0.326"
"Temperature change","Estonia","Temperature change","November","2005","°C","2.54"
"Temperature change","Estonia","Temperature change","November","2006","°C","1.991"
"Temperature change","Estonia","Temperature change","November","2007","°C","-0.086"
"Temperature change","Estonia","Temperature change","November","2008","°C","2.04"
"Temperature change","Estonia","Temperature change","November","2009","°C","1.997"
"Temperature change","Estonia","Temperature change","November","2010","°C","-0.388"
"Temperature change","Estonia","Temperature change","November","2011","°C","3.613"
"Temperature change","Estonia","Temperature change","November","2012","°C","2.43"
"Temperature change","Estonia","Temperature change","November","2013","°C","3.308"
"Temperature change","Estonia","Temperature change","December","2000","°C","4.062"
"Temperature change","Estonia","Temperature change","December","2001","°C","-3.688"
"Temperature change","Estonia","Temperature change","December","2002","°C","-4.636"
"Temperature change","Estonia","Temperature change","December","2003","°C","3.37"
"Temperature change","Estonia","Temperature change","December","2004","°C","3.624"
"Temperature change","Estonia","Temperature change","December","2005","°C","0.411"
"Temperature change","Estonia","Temperature change","December","2006","°C","6.786"
"Temperature change","Estonia","Temperature change","December","2007","°C","4.543"
